as_of,mpp_name,riding,income,assets,liabilities,gifts,offices
"October 06, 2011",Rob Leone,Cambridge,"Viewpoint Policy Consultants - Salary
McMaster University - Salary
Wilfrid Laurier University - Salary",Viewpoint Policy Consultants (inactive) - 33% interest,"Mortgage - TD Canada Trust
Loan - TD Canada Trust",Nil.,Viewpoint Policy Consultants (inactive) - President
"October 06, 2011",Rob Milligan,Northumberland-Quinte West,"Kawartha Pine Ridge District School Board - Salary (leave of absence as of September 2011)
Angel Haven Farms - Farming income",Angel Haven Farms (50% interest),"Mortgage - Farm Credit Canada
Line of Credit - Royal Bank",Nil.,Nil.
"October 06, 2011",Rod Jackson,Barrie,Redline Strategies - Salary,"Redline Strategies - HR Consulting and Mediation (100% ownership) - inactive as of October 6, 2011",Mortgage - National Bank,Nil.,Nil.
"October 06, 2011",Rosario Marchese,Trinity-Spadina,"Salary -Legislative Assembly of Ontario, Caucus Chair",Nil.,Mortgage - CIBC,Nil.,Nil.
"October 06, 2011",Sarah Campbell,Kenora-Rainy River,"Kenora District Services Board - Compensation for meeting attendance & honorarium for Director position (resigned as of October 2011)
NWLive.ca - Sales income",NWLive ca - Media Services Company (50% interest),"Mortgage - Royal Bank of Canada
Loan - Royal Bank of Canada",Nil.,"Director - Hoshizaki House Women's Shelter and Second Stage Housing (resigned)
Oxdrift Unincorporated Area Representative - Kenora District Services Board (resigned as of October 2011)
Director - NWLive.ca
Oxdrift Unincorporated Area Representative - District of Kenora Unincorporated Ratepayers' Association (resigned as of October 2011)"
"October 06, 2011",Shafiq Qaadri,Etobicoke North,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant
OHIP Fees - Ministry of Health and Long-Term Care
Honouraria/Med. Education - FAS/Pharma Communication
Rental Income - Investment property","Investment Property - 2729 Bayview Ave., Toronto.
Shares: Cisco Systems Inc., Coca-Cola Co., Intel Corp., Microsoft Corp., Time Warner Inc.
Mutual Funds: CI Global Health Corporate Class Z, Mackenzie Universal Technology Class Series A.
RRSP- Shares/Mutual Funds: Intel, Pfizer, Mackenzie Universal Technology, CI Global Health Sciences Corporate Class.",Nil.,Nil.,Nil.
"October 06, 2011",Soo Wong,Scarborough-Agincourt,"Salary - Humber College (was on leave until resignation on December 31, 2011)
Toronto Board of Health (Resigned Oct. 6, 2011)",S & R Kitchen (inactive): 50% ownership.,Mortgages - Bank of Nova Scotia,Nil.,Director - S & R Kitchen (inactive)
"October 06, 2011",Steve Clark,Leeds-Grenville,Salary - Legislative Assembly of Ontario,Nil.,"Mortgage - Scotiabank
Line of Credit - Scotiabank",Nil.,Nil.
"October 06, 2011",Sylvia Jones,Dufferin-Caledon,Salary - Legislative Assembly of Ontario,"Jones joint venture 3.8% interest (real estate holding)
Sector-specific mutual fund: CI Global Science and Technology Corporate Class",Line of Credit - CIBC,Nil.,Nil.
"October 06, 2011",Taras Natyshak,Essex,Salary - Labourers International Union of North America - Local 625 (on leave of absence),Nil.,Mortgage - TD Canada Trust,Nil.,Nil.
"October 06, 2011",Ted Arnott,Wellington-Halton Hills,Salary - Legislative Assembly of Ontario,"Shares - Dell Inc.
RRSP - Sector-specific mutual funds: Altamira Precious and Strategic Metal Fund
RESP - Sector-specific mutual fund: Trimark Canadian Resources Fund",Nil.,Nil.,Nil
"October 06, 2011",Ted Chudleigh,Halton,"Salary - Legislative Assembly of Ontario
Income from investments","Preferred Shares: Royal Bank, TD Bank, National Bank of Canada, Bank of Nova Scotia.
Shares: Leisureworld Senior Care Corp., Ford Motor Company, General Motors Company.
RRSP - Preferred Shares: Royal Bank of Canada, Toronto Dominion Bank.
RRSP - Shares: Barclays Bank, Intertainment Media, Leisureworld Senior Care Corp., Ford Motor Company, General Motors Company.",Nil.,Nil.,Nil.
"October 06, 2011",Ted McMeekin,Ancaster-Dundas-Flamborough-Westdale,"Salary - Legislative Assembly of Ontario, Ministerial salary",Nil.,Mortgage - First Line,Nil.,Nil.
"October 06, 2011",Teresa Armstrong,London-Fanshawe,"Salary - Johnson Incorporated (ceased employment on October 6, 2011)
Rental income from investment properties","Investment Property - 14 Culver Court, London, ON.
Investment Property - 379 Calgary St., London, ON.
Armstrong & Company Inc. - Process Serving Company (50% interest)",Nil.,Nil.,Director - Armstrong & Company Inc.
"October 06, 2011",Teresa Piruzza,Windsor West,"City of Windsor, Employment and Social Services - Salary (resigned October 2011)",Nil.,Mortgage - PC Financial Services,Nil.,Nil.
"October 06, 2011",Tim Hudak,Niagara West-Glanbrook,"Salary - Legislative Assembly of Ontario, Leader of the Official Opposition","Shares - Dell Inc., Dreamworks Animation, Walt Disney Co. Holding Co., Microsoft Corp., Bank of Nova Scotia, Transcontinental Inc.
RRSP - Agrium, Atco, Bank of Nova Scotia, Canadian National Railway Co., CGI Group Inc., Canadian Tire Corp. Ltd., Home Capital Group Inc., National Bank of Canada, Potash Corp. of Saskatchewan Inc., Power Financial Corp., Royal Bank of Canada, Shoppers Drug Mart Corporation,TransCanada Corp., Toronto Dominion Bank, Cenovus Energy, Crescent Point Energy Corp., Canadian Natural Resources, Husky Energy Inc., Labrador Iron Ore, Stantec Inc., Telus, Thomson Reuters Corp., Bank of Montreal, BCE Inc., Finning International Inc., Magna International Inc., Rogers Communications Inc., Sun Life Financial Inc., Shaw Communications, Tech Resources Limited
TFSA - Bank of Nova Scotia, TransContinental","Mortgage - Bank of Montreal
Line of Credit - Bank of Montreal",Mr. Hudak received the following gifts: 1) 2 tickets to the Chief of Police Gala in support of Victim Services Toronto from Philip Evershed of Canaccord Genuity Corporation; 2) A Blues Collection crystal whisky decanter from the Ontario Home Builders Association as thanks for speaking at their Annual Presidents & Executive Officers Seminar; 3) A Laurential Tartan Throw from Jamie Lim of the Ontario Forest Industry Association (OFIA) as thanks for a speech given by Mr. Hudak to the OFIA; and; 4) 1 ticket to the Mayoral Harmony Dinner from Mark Frederick and Miller Thomson LLP,Nil.
"October 06, 2011",Toby Barrett,Haldimand-Norfolk,"Salary - Legislative Assembly of Ontario
Rental Income","Farmleigh Farms - 50/50 partnership between Mr. Barrett and his father
280 Brant Avenue, Brantford - 50% interest with spouse
Lot - Township of South Walsingham - 100% interest",Mortgage - First Line Mortgages,Nil.,Nil.
"October 06, 2011",Todd Smith,Prince Edward-Hastings,Salary - Quinte Broadcasting Co. Ltd.,Nil,Mortgage - Scotiabank,Nil,Nil
"October 06, 2011",Tracy MacCharles,Pickering-Scarborough East,TM Consulting - Contract Income,TM Consulting - HR Consulting - Sole proprietorship (inactive),Nil.,Nil.,Nil.
"October 06, 2011",Vic Dhillon,Brampton West,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary",Nil.,Mortgage - Scotiabank,Nil.,Nil.
"October 06, 2011",Vic Fedeli,Nipissing,Salary - Fedeli Corporation,Fedeli Corporation - Holding Company (100% interest),Mortgage - BMO,Nil.,"Fedeli Corporation - President, Secretary and Treasurer"
"October 06, 2011",Yasir Naqvi,Ottawa Centre,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary",2 Properties in Pakistan - 100% interest,"Mortgage - Macquarie Bank
Student Loan - CIBC",Nil,Nil
"September 01, 2010",Aileen Carroll,Barrie,"Salary - Legislative Assembly of Ontario
Pension - Government of Canada",MAC Holding Ltd. - 100% interest,Nil,Nil,Nil
"September 01, 2010",Amrit Mangat,Mississauga-Brampton South,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary",Nil,"Mortgage -TD Canada Trust
Line of Credit - Vancity Savings Credit Union",Ms. Mangat received the following: 2 tickets to the annual holiday dinner and dance event from Asha Luthra; Indo-Canada Chamber of Commerce; 2 tickets the Mayor's Gala from the Sheridan Institute of Technology & Advanced Learning; 2 tickets to a fundraising reception; from the William Osler Health Centre Foundation; 2 tickets to a gala in honour of Professor Orchard; in recognition of his leadership of the campaus and the community; from University of Toronto; Mississauga; 2 tickets to the Sikh Centennial Foundation Gala from Vijay Kanwar; 2 tickets to the Mayor of Brampton's annual gala; from Brampton Mayor Susan Fennell; 2 tickets to an awards dinner from the Indo-Canada Chamber of Commerce.,Nil
"September 01, 2010",Andrea Horwath,Hamilton Centre,"Salary - Legislative Assembly of Ontario, Leader of Party with the Opposition
Rental Income - Tenants","Investment Property - 76 West Avenue North, Hamilton","Mortgages: First Ontario Credit Union, MCAP",Nil,Nil
"September 01, 2010",Bas Balkissoon,Scarborough-Rouge River,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant","2171041 Ontario Inc. (Inactive)
Mutual Funds: AGF Global Resource, Sentry Select Canadian Resource, Qwest Energy Canadian Resource,
Stone Resource Plus, Matrix Explorer Fund, CI Signature Canadian Resource, Sentry Select Precious Metals
Equities: Bank of Nova Scotia, MRF 2007
RRSP- Shares: CIBC, Research in Motion Ltd.","Loan - AGF Trust
Line of Credit - CIBC",Nil,Nil
"September 01, 2010",Bill Mauro,Thunder Bay-Atikokan,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary",Sector-specific mutual fund: Investors Real Property Fund,Nil,Nil,Nil
"September 01, 2010",Bill Murdoch,Bruce-Grey-Owen Sound,"Salary - Legislative Assembly of Ontario
Farming Operation - Sale of Cattle, Rental income","Lot 5, Conc. 2, Sydenham Township
Lots 72-75, 78-81, 1st & 2nd Ave, Bognor",Nil,Nil,Nil
"September 01, 2010",Bob Bailey,Sarnia-Lambton,Salary - Legislative Assembly of Ontario,"Shares - Manulife Financial
RRSP - Shares: TransCanada Corporation",Mortgage - Bank of Nova Scotia,Nil,"Oil Springs Masonic Temple Building, Director"
"March 04, 2010",Bob Chiarelli,Ottawa West-Nepean (Byelection),Salary - HousAll Systems Corporation,HousAll Systems Corporation (Temporary All Season Shelter) - 10% interest,Line of Credit - Bank of Montreal,Nil,"Directorships: Policy and Project Consulting Inc, HousAll Systems Corporation"
"September 01, 2010",Bob Chiarelli,Ottawa West-Nepean,"Salary - Legislative Assembly of Ontario, Ministerial salary
Salary - HousAll Systems Corporation (Resigned September 1, 2010)
Director's Fees - Independent Electricity Systems Operator (Resigned February 2010)
Dividends - Policy and Project Consulting Inc
Pensions: Canada Pension Plan, Old Age Security, OMERS","HousAll Systems Corporation (Temporary All Season Shelter) - 10% interest. (Interest divested as of September 30, 2010)
Policy and Project Consulting Inc. (Inactive since March 4, 2010) - 100% interest (Pursuant to s. 13 of the Members' Integrity Act, 1994, the Integrity Commissioner has ruled that Minister Chiarelli is not required to place Policy and Project Consulting Inc. in trust on the condition that it remains inactive.)","Lines of Credit - Bank of Montreal, TD Canada Trust",Nil,"Directorships: Policy and Project Consulting Inc (Inactive since March 4, 2010), HousAll Systems Corporation (Resigned September 1, 2010)"
"September 01, 2010",Bob Delaney,Mississauga Streetsville,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary","RRSP - Shares: BCE Inc., CAE Inc., Rona Inc., GM Liquidation",Mortgage - TD Canada Trust,"Mr. Delaney received a seven-night trip to India to promote better business ties and investment in Ontario, paid for by the Gujarati Business Association.",Nil
"September 01, 2010",Brad Duguid,Scarborough Centre,"Salary - Legislative Assembly of Ontario, Ministerial Salary
Rental Income",Nil,"Mortgage - Royal Bank of Canada
Line of Credit - Royal Bank of Canada",Nil,Nil
"September 01, 2010",Bruce Crozier,Essex,"Salary - Legislative Assembly of Ontario, Deputy Speaker","Shares - Sun Life Financial, Manulife Financial
Sector-specific mutual funds - CI Signature Global Energy, Fidelity Global Natural Resources Fund A, Fidelity Global Natural Resource Fund B",Nil,Nil,Nil
"September 01, 2010",Carol Mitchell,Huron-Bruce,"Salary - Legislative Assembly of Ontario, Minister's salary",Nil,Nil,Nil,Nil
"September 01, 2010",Charles Sousa,Mississauga South,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary","Shares: Royal Bank of Canada, Toronto Dominion Bank, Bank of Nova Scotia, Canadian Imperial Bank of Commerce, Research in Motion
RRSP - Shares/Mutual Funds: Royal Bank of Canada, Toronto Dominion Bank",Line of Credit - RBC Financial Group,Nil,Nil
"September 01, 2010",Cheri DiNovo,Parkdale-High Park,"Legislative Assembly of Ontario, Deputy Chair of the Committee of the Whole House",Mutual funds - MFC Uni Prec Metals,"Line of Credit - Manulife
Mortgage - Mortgage Intelligence",Nil,"Board Member, Ruth's Daughters of Canada"
"September 01, 2010",Chris Bentley,London West,"Salary - Legislative Assembly of Ontario, Ministerial salary
Book Royalties - Carswell","Management Trust dated August 3, 2008",Nil,Nil,Nil
"September 01, 2010",Christine Elliott,Whitby-Oshawa,"Salary - Legislative Assembly of Ontario, Vice Chair Select Committee on Mental Health and Addiction
Salary - Flaherty, Dow, Elliott & McCarthy
Rental Income - Desk Top Box Inc., Tara Bayliss","Flaherty Dow Elliot & McCarthy (Partnership) 1012713 Ontario Limited - 33.3% joint interest with spouse (33.3%interest held by Todd McCarthy, 33.3% held by Grant Dow)
Property: 340 Watson Street West, Whitby - 50% interest, 132 Dundas St. W., Whitby - 33.3% interest joint with spouse, Vacant land Garden Street, Whitby - 100% interest
Legacy Private Trust - Legacy Equity and Participation units
RRSP - Shares/Trust Units: Bank of Nova Scotia, BCE Inc., Leons Furniture Ltd, Nal Oil and Gas Trust Units,
Royal Bank of Canada, AnnTaylor Stores Corp
Mutual funds - RBC Global Precious Metals Fund","Mortgages - Royal Bank of Canada, ELCIC Holdings",Nil,"Treasurer & Director - 1012713 Ontario Limited
Director & Chair of Audit Committee - Legacy Private Trust
Secretary & Director - Abilities Centre Durham
Director - Toronto Symphony Orchestra"
"September 01, 2010",Dalton McGuinty,Ottawa South,"Salary - Legislative Assembly of Ontario, Premier's salary",Nil,Line of Credit - Royal Bank of Canada,Mr. McGuinty received the following: a commemorative replica of the Olympic torch from Bombardier Inc.; a commemorative replica of the Olympic torch from the Vancouver Olympic Games Organizing Committee; a painting of the premier and key Cabinet members from the National Ethnic Press & Media Council of Canada; a leather jacket from Manitoba Premier Greg Selinger at the 2010 Council of the Federation summer meeting; a 5-ounce Vancouver 2010 Olympic gold coin from British Columbia Premier Gordon Campbell at the annual Council of the Federation meeting; and a ceramic vase by Mexican artist Jesus Guerrero Santos from government officials from Guadlajara; Mexico as part of the Pan Am Games bid.,Nil
"September 01, 2010",Dave Levac,Brant,Salary - Legislative Assembly of Ontario - Parliamentary Assistant,Shares - Tim Horton's,"Mortgage - RBC Financial
Line of Credit - Teachers Credit Union","Mr. Levac received travel and accommodation for a Friendship Mission trip to Saudi Arabia, paid by the Saudi royal family",Nil
"September 01, 2010",David Caplan,Don Valley East,Salary - Legislative Assembly of Ontario,Nil,"Guarantor for spouse, Maple Trust, Toronto
Line of Credit - CIBC",Nil,"Director, Epilepsy Toronto"
"September 01, 2010",David Orazietti,Sault Ste. Marie,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary",Nil,Mortgage - Northern Credit Union,Nil,Nil
"September 01, 2010",David Ramsay,Timiskaming-Cochrane,"Salary - Legislative Assembly of Ontario, Parliamentary Assistant salary","Shares: Algonquin Power, Bank of America, BCE, Exxon Mobil, Fairfax Financial, General Electric, Johnson & Johnson, Manulife Financial, Northland Power, Pembna Pipeline, Rogers Communications, Suncor, Teck Resources, UTD Technologies Corp.",Line of credit - Bank of Nova Scotia,Nil,Nil
